"Lat","Lon"
35.63293045,-121.1915809
35.63913903,-121.1831767
35.63650825,-121.1771387
35.63246127,-121.1704015
35.62388868,-121.1623343
35.61675597,-121.1570092
35.60964349,-121.151169
35.60126426,-121.1455059
35.59622329,-121.138715
35.59014464,-121.1334317
35.58256613,-121.1289668
35.57380439,-121.1250312
35.56942823,-121.1201712
35.56030749,-121.1140574
35.5526085,-121.1099713
35.54450395,-121.1057863
35.53910171,-121.0987411
35.53087622,-121.0915343
35.52688371,-121.0842299
35.51983307,-121.0769681
35.51324159,-121.0706614
35.50449668,-121.0635384
35.49944498,-121.0564556
35.49411243,-121.0514433
35.48601126,-121.0440876
35.48172154,-121.0373124
35.47752921,-121.0305561
35.47284602,-121.0248579
35.46655201,-121.0185673
35.45592235,-120.989578
35.45419888,-120.9829925
35.45420217,-120.9765094
35.45008673,-120.9620858
35.44695202,-120.9569381
35.43919481,-120.9441581
35.44278173,-120.9293861
35.44332374,-120.9130903
35.24942022,-120.9005589
35.24255578,-120.8970449
35.23667468,-120.8917465
35.23051141,-120.8848869
35.22611349,-120.8789498
35.19157911,-120.8263171
35.1871797,-120.8202512
35.1717996,-120.7197608
35.16823767,-120.7086851
35.16555022,-120.7024032
35.16196837,-120.6983416
35.15739399,-120.6910395
35.15394771,-120.6819486
35.14989154,-120.6679543
34.73358521,-120.6299289
34.73087984,-120.6241824
34.55493027,-120.605817
34.54320728,-120.5715557
34.54089718,-120.5649232
34.53883163,-120.5519407
34.53697264,-120.5452209
34.53144949,-120.5341134
34.5267371,-120.5285757
34.52159104,-120.5211947
34.51712921,-120.5143825
34.50965946,-120.510918
34.50347808,-120.504742
34.49482526,-120.5030415
34.48869502,-120.4975157
34.48190752,-120.4909994
34.47843523,-120.485594
34.45716255,-120.4791715
34.44244016,-120.4515567
34.44752148,-120.4442081
34.4484355,-120.4359956
34.44716798,-120.4280178
34.44491962,-120.4176292
34.44703585,-120.4095957
34.44681478,-120.401586
34.44354367,-120.3912133
34.44472911,-120.3798844
34.44559983,-120.3718726
34.44772593,-120.3648243
34.45136575,-120.3584894
34.4545582,-120.352581
34.45721528,-120.3329996
34.46219469,-120.315841
34.46523816,-120.3004911
34.4672136,-120.2953244
34.46738371,-120.2870728
34.46791059,-120.2713314
34.47005469,-120.1644629
34.47203599,-120.1479918
34.47215392,-120.1399115
34.46864148,-120.1242244
34.46421958,-120.1084422
34.45969091,-120.093908
34.45867313,-120.0879143
34.46063525,-120.0636454
34.46019838,-120.0564583
34.46123256,-120.042727
34.4455487,-119.9793146
34.43987065,-119.9667687
34.43176697,-119.9565224
34.43232761,-119.9447813
34.43069178,-119.9335081
34.42998217,-119.9293404
34.42465174,-119.9124184
34.41984211,-119.9041158
34.41773163,-119.8968433
34.40743142,-119.8834388
34.40495783,-119.8770989
34.4052546,-119.86762
34.40464119,-119.8578022
34.40332297,-119.8463933
34.40495461,-119.838766
34.41456978,-119.8103047
34.41416472,-119.7945463
34.40892358,-119.7766727
34.40279135,-119.7564497
34.39911252,-119.741178
34.39518464,-119.730497
34.39389849,-119.7155851
34.41709814,-119.6041044
34.40949122,-119.5725728
34.39242772,-119.5453329
34.39168436,-119.5377471
34.3888005,-119.5213204
34.34522843,-119.4314517
34.31409473,-119.3718351
34.30741468,-119.362063
34.06177804,-118.9917739
34.06045243,-118.9880814
34.04871074,-118.966558
34.04571913,-118.9595737
34.04435456,-118.9510943
34.04228544,-118.9361041
34.03866207,-118.916366
34.03650727,-118.8993586
34.03522232,-118.8891891
34.03557716,-118.8805229
34.03546359,-118.8732991
34.03439703,-118.8698209
34.03306102,-118.865346
34.0050519,-118.795352
34.00900017,-118.7891594
34.01516479,-118.7874022
34.02089174,-118.7723331
34.02331983,-118.7605597
34.02506562,-118.753545
34.02811032,-118.7068951
33.79553422,-118.4116183
33.79049754,-118.4185673
33.78510977,-118.4260232
33.77536655,-118.4305195
33.76821235,-118.4269119
33.763655,-118.4247693
33.75390559,-118.4163151
33.74003151,-118.4100553
33.73767217,-118.4031553
33.73580076,-118.3981155
33.73907278,-118.3889906
33.73946858,-118.3814071
33.73505357,-118.3662156
33.72588183,-118.3506908
33.72249911,-118.3421659
33.72124882,-118.3396955
33.71958182,-118.3349268
33.71713124,-118.3285509
33.71479962,-118.3246583
33.71212664,-118.3167043
33.70992561,-118.3088885
33.7070366,-118.3007233
33.7037514,-118.2887974
33.58774652,-117.86896
33.58136853,-117.8612153
33.5642234,-117.8364838
33.56262015,-117.8317019
33.54074678,-117.7922567
33.53165208,-117.7815087
33.47795022,-117.7306715
33.45674909,-117.7179385
32.83695211,-117.2972083
32.82822187,-117.2905297
32.81561934,-117.2906154
32.80553616,-117.2833078
32.733101,-117.2700596
32.71491404,-117.2703227
32.69347736,-117.2671128
32.67365811,-117.2617996
32.65688299,-117.2508669
